,0,1,2,3,4,5,6,7,8,9
0,-3185.12932054924,382.38375396613003,-3547.463748816299,429.5743382030365,-3380.6208570075614,410.9760748526881,-3057.3829604640196,376.8186487365241,-10924.242424242475,19692.705365898797
1,-2841.7579604640196,363.2783175126923,-2958.7406782670405,399.14533533633124,-3122.01171875,394.94464389543714,-2542.32303503788,355.6564532383106,-30924.242424242475,19006.814784820283
2,-2653.6103219696997,342.1862186006686,-2894.86446496212,372.10033671449287,-2905.317086884479,376.212904492757,-2568.0482066761397,345.54709336141576,-36151.515151515196,18378.68420365972
3,-2407.5507516571997,313.2771285999844,-2362.0198567708394,317.86477996130793,-2763.3186848958394,351.0032101526112,-1957.0817057291606,293.52719476851354,-61787.8787878788,18407.081820783675
4,-1716.181640625,230.49174982252413,-1597.3471531723408,242.20494626022875,-2004.2896247632598,273.2208514151098,-1466.86153527462,233.47297748177388,-82727.27272727272,18291.781110606673
5,-994.8367956912989,176.52512813189938,-905.6033972537989,190.5433479376451,-1304.4782788825614,212.0954582055144,-769.4167258522793,199.9010421246482,-23257.57575757576,5482.941238796853
6,-534.1897490530209,154.01381926266615,-380.7756273674386,179.67572151388396,-559.6741832386397,183.0154779899637,-479.7591145833394,197.0695033007371,-25636.363636363603,5432.440055691151
7,-44.247602982959506,150.33671732594715,0.7411517518812616,140.28900677437613,-211.02124763256143,155.1724017669352,71.40876538825978,192.76553890907343,-23909.090909090883,6036.623762193648
8,629.4654060132598,152.61393333978899,781.6326349431802,161.04181361703277,419.99245383522066,154.36399111904575,859.4346294981187,196.89525382931626,-19424.242424242475,5606.887735869573
9,1312.8178267045405,174.96595857509368,1315.2951882102207,189.33680319286907,1072.54512902462,169.18052700240057,1606.5158913352207,216.10377926854727,2666.6666666666424,4621.097862472235
10,1517.6504794034008,210.06686110841727,1578.4454900568198,216.2487729648925,1601.1661044034008,219.6977611274774,1474.9795809659008,219.29762576709504,4984.84848484848,4851.95709001077
11,1562.8588127367402,218.2391861130507,1414.196407433701,220.73794782733572,1375.695430871201,218.20359220516062,1638.5139973958394,244.47775421843744,16075.757575757525,4815.024694632142
12,1792.558297821979,226.99646047120106,1733.0996981534008,232.36215075247105,1592.39316998106,229.31085381695135,1623.0286754261397,245.084842407583,22636.363636363603,4935.451112710004
13,1187.4211351799386,198.94773077851036,1308.4483013731187,185.78491356989065,1555.6739760890196,216.52085400838504,704.9621212121201,180.33524521051945,4833.333333333358,4969.909455915671
14,700.2169152462011,148.8016165580058,857.2299656723408,144.1153175633413,928.4212239583394,162.53586041569122,343.7414180871201,130.37548230835247,1272.7272727272793,4721.727516894813
15,204.45297703598044,157.99512119180375,304.22955137311874,143.19423787900743,529.8091264204595,142.17148881203218,-183.5611979166606,159.53592152202887,-9515.15151515152,5866.208033663218
16,-550.0617009943198,176.39215069232617,-280.8731356534008,172.43523845779217,-252.8059895833394,179.5201095296071,-734.5399798768813,200.819509222632,-24590.909090909117,5706.528087192541
17,-1336.2403823390196,215.6973835733984,-1142.2795336174386,209.5916186916142,-982.5310724431802,211.42196344041875,-1544.9536872632598,224.58341625926866,-23939.39393939392,5640.936561357184
18,-1788.789358428021,222.29756921176713,-1688.293826941299,216.7918443924093,-1673.5367838541606,223.50936960779427,-1683.4633937026592,217.5032215951354,-5666.666666666642,4800.0
19,-1829.4739879261397,236.2108891094758,-1748.7264737215992,234.74408479564184,-1749.5667613636397,226.47828138816143,-1764.4457267992402,242.8408765036847,-3636.3636363636033,5048.541234360805
20,-1957.5014796401592,250.94228875995836,-2074.5716441761397,262.1367825180154,-2068.5378196022793,267.19414773026654,-1872.682735558701,245.343298045833,-12636.363636363603,5123.612491072845
21,-1712.9435961174386,232.05362486997458,-2002.8360262784008,261.3182498076613,-2023.4999408143813,255.75880922061228,-1635.3045099431802,239.43885006203632,13424.242424242475,4521.153220836581
22,-1570.13124408144,222.5591468111788,-1794.2342862215992,251.72466909425395,-1683.1616950757598,240.62261935643485,-1219.3227687026592,214.62787650677814,13984.84848484848,4895.790061938778
23,-1103.5237630208394,177.47933877956012,-1366.67421283144,217.56716088592614,-1262.6777047821997,204.00107332033645,-1081.5505149147793,203.2008048577038,5727.272727272721,4886.733601216277
24,-1471.2060546875,219.72957998441,-1860.8765388257598,267.0590828418982,-1385.293264678021,214.13383225580645,-1780.2269767992402,269.5794972162424,5212.121212121201,5441.818485557201
25,-1653.98984966856,229.64788457251714,-1909.0620561079595,254.1842230032077,-1796.5666429924386,243.58509834855923,-1823.2441110321997,273.9828346305527,18787.8787878788,5333.830899655116
26,-1637.8684303977207,220.82789827670987,-1698.1001420454595,235.28517839535903,-1576.0498046875,231.30227757583634,-1794.396602746201,261.28214810119374,19500.0,3922.197899601238
