Date,N225_High,N225_Low,N225_Open,N225_Close,N225_AdjClose,DJIA_High,DJIA_Low,DJIA_Open,DJIA_Close,DJIA_AdjClose
2002-06-10,11522.0400390625,11370.2099609375,11470.919921875,11370.2099609375,11370.2099609375,9718.08984375,9562.5400390625,9587.3798828125,9645.400390625,9645.400390625
2002-06-11,11514.5302734375,11390.41015625,11390.41015625,11449.4404296875,11449.4404296875,9758.7998046875,9508.6904296875,9647.6201171875,9517.259765625,9517.259765625
2002-06-12,11405.2900390625,11261.9296875,11392.3203125,11327.0595703125,11327.0595703125,9624.76953125,9449.98046875,9515.1201171875,9617.7099609375,9617.7099609375
2002-06-13,11396.2802734375,11132.58984375,11366.0595703125,11144.83984375,11144.83984375,9625.400390625,9491.8603515625,9612.8701171875,9502.7998046875,9502.7998046875
2002-06-14,11127.16015625,10911.0703125,11121.8896484375,10920.6298828125,10920.6298828125,9498.919921875,9260.990234375,9498.919921875,9474.2099609375,9474.2099609375
2002-06-17,10888.0400390625,10577.8896484375,10858.0498046875,10664.1103515625,10664.1103515625,9687.76953125,9476.5,9476.5,9687.419921875,9687.419921875
2002-06-18,10884.259765625,10747.6796875,10799.4296875,10839.9296875,10839.9296875,9721.75,9636.9599609375,9684.51953125,9706.1201171875,9706.1201171875
2002-06-19,10771.599609375,10448.7001953125,10757.0302734375,10476.1796875,10476.1796875,9733.3896484375,9542.740234375,9702.0,9561.5703125,9561.5703125
2002-06-20,10629.4404296875,10325.5498046875,10467.2197265625,10612.98046875,10612.98046875,9573.8896484375,9425.8798828125,9561.6396484375,9431.76953125,9431.76953125
2002-06-21,10489.7802734375,10327.91015625,10489.7802734375,10354.349609375,10354.349609375,9430.66015625,9220.6298828125,9430.66015625,9253.7900390625,9253.7900390625
2002-06-24,10490.8701171875,10169.0703125,10255.990234375,10471.3203125,10471.3203125,9369.9501953125,9083.5595703125,9252.4697265625,9281.8203125,9281.8203125
