Date,N225_High,N225_Low,N225_Open,N225_Close,N225_Volume,N225_AdjClose,DJIA_High,DJIA_Low,DJIA_Open,DJIA_Close,DJIA_Volume,DJIA_AdjClose
2002-06-10,11522.0400390625,11370.2099609375,11470.919921875,11370.2099609375,37900.0,11370.2099609375,9718.08984375,9562.5400390625,9587.3798828125,9645.400390625,226060000.0,9645.400390625
2002-06-11,11514.5302734375,11390.41015625,11390.41015625,11449.4404296875,39600.0,11449.4404296875,9758.7998046875,9508.6904296875,9647.6201171875,9517.259765625,252640000.0,9517.259765625
2002-06-12,11405.2900390625,11261.9296875,11392.3203125,11327.0595703125,42800.0,11327.0595703125,9624.76953125,9449.98046875,9515.1201171875,9617.7099609375,332400000.0,9617.7099609375
2002-06-13,11396.2802734375,11132.58984375,11366.0595703125,11144.83984375,46500.0,11144.83984375,9625.400390625,9491.8603515625,9612.8701171875,9502.7998046875,227630000.0,9502.7998046875
2002-06-14,11127.16015625,10911.0703125,11121.8896484375,10920.6298828125,112800.0,10920.6298828125,9498.919921875,9260.990234375,9498.919921875,9474.2099609375,286920000.0,9474.2099609375
2002-06-17,10888.0400390625,10577.8896484375,10858.0498046875,10664.1103515625,56400.0,10664.1103515625,9687.76953125,9476.5,9476.5,9687.419921875,247560000.0,9687.419921875
2002-06-18,10884.259765625,10747.6796875,10799.4296875,10839.9296875,48100.0,10839.9296875,9721.75,9636.9599609375,9684.51953125,9706.1201171875,212730000.0,9706.1201171875
2002-06-19,10771.599609375,10448.7001953125,10757.0302734375,10476.1796875,58000.0,10476.1796875,9733.3896484375,9542.740234375,9702.0,9561.5703125,248010000.0,9561.5703125
2002-06-20,10629.4404296875,10325.5498046875,10467.2197265625,10612.98046875,60200.0,10612.98046875,9573.8896484375,9425.8798828125,9561.6396484375,9431.76953125,277030000.0,9431.76953125
2002-06-21,10489.7802734375,10327.91015625,10489.7802734375,10354.349609375,45800.0,10354.349609375,9430.66015625,9220.6298828125,9430.66015625,9253.7900390625,416400000.0,9253.7900390625
2002-06-24,10490.8701171875,10169.0703125,10255.990234375,10471.3203125,52600.0,10471.3203125,9369.9501953125,9083.5595703125,9252.4697265625,9281.8203125,341190000.0,9281.8203125
2002-06-25,10580.490234375,10404.2197265625,10463.9697265625,10496.669921875,52200.0,10496.669921875,9413.080078125,9111.25,9285.5595703125,9126.8203125,294930000.0,9126.8203125
2002-06-26,10376.2900390625,10060.7197265625,10376.2900390625,10074.5595703125,51400.0,10074.5595703125,9160.8095703125,8926.5703125,9108.2197265625,9120.1103515625,407350000.0,9120.1103515625
2002-06-27,10335.9697265625,10176.1796875,10182.1201171875,10261.599609375,42400.0,10261.599609375,9269.919921875,9034.9599609375,9122.1201171875,9269.919921875,335340000.0,9269.919921875
2002-06-28,10621.83984375,10366.4697265625,10390.5302734375,10621.83984375,49000.0,10621.83984375,9362.8203125,9237.73046875,9270.330078125,9243.259765625,331590000.0,9243.259765625
2002-07-01,10677.099609375,10541.2197265625,10655.0,10595.4404296875,43900.0,10595.4404296875,9327.4404296875,9106.8896484375,9239.25,9109.7900390625,258620000.0,9109.7900390625
2002-07-02,10622.3203125,10371.259765625,10516.66015625,10622.3203125,44900.0,10622.3203125,9135.8203125,8960.5400390625,9104.9501953125,9007.75,313900000.0,9007.75
2002-07-03,10862.6904296875,10495.669921875,10521.6396484375,10812.2998046875,59400.0,10812.2998046875,9070.8896484375,8897.5400390625,9006.3701171875,9054.9697265625,272750000.0,9054.9697265625
2002-07-05,10885.830078125,10701.3701171875,10701.3701171875,10826.08984375,50200.0,10826.08984375,9379.849609375,9061.5400390625,9061.5400390625,9379.5,143040000.0,9379.5
2002-07-08,11050.6904296875,10760.099609375,10969.2099609375,10769.2001953125,55900.0,10769.2001953125,9410.3798828125,9240.3603515625,9375.7001953125,9274.900390625,244270000.0,9274.900390625
2002-07-09,10960.25,10770.990234375,10836.1904296875,10960.25,48100.0,10960.25,9318.099609375,9081.9599609375,9273.3798828125,9096.08984375,255570000.0,9096.08984375
2002-07-10,10975.7197265625,10752.66015625,10865.9296875,10752.66015625,44800.0,10752.66015625,9134.23046875,8811.7001953125,9098.16015625,8813.5,383600000.0,8813.5
2002-07-11,10647.58984375,10457.0703125,10647.58984375,10485.740234375,45500.0,10485.740234375,8854.900390625,8605.33984375,8812.1201171875,8801.5302734375,413260000.0,8801.5302734375
2002-07-12,10694.41015625,10570.0,10608.6298828125,10601.4501953125,53100.0,10601.4501953125,8849.2197265625,8599.66015625,8805.330078125,8684.5302734375,339060000.0,8684.5302734375
2002-07-15,10548.2099609375,10373.2900390625,10548.2099609375,10375.150390625,37400.0,10375.150390625,8681.900390625,8244.8701171875,8681.2802734375,8639.1904296875,379100000.0,8639.1904296875
2002-07-16,10503.0400390625,10250.419921875,10313.2099609375,10250.419921875,50400.0,10250.419921875,8635.66015625,8406.4501953125,8635.3095703125,8473.1103515625,364500000.0,8473.1103515625
2002-07-17,10328.009765625,10113.6103515625,10256.3896484375,10296.01953125,52800.0,10296.01953125,8723.3701171875,8452.759765625,8476.2099609375,8542.48046875,377580000.0,8542.48046875
2002-07-18,10513.990234375,10340.3095703125,10366.9501953125,10498.259765625,51400.0,10498.259765625,8621.9501953125,8404.4296875,8540.4697265625,8409.490234375,276320000.0,8409.490234375
2002-07-19,10421.5302734375,10174.6796875,10421.5302734375,10202.3603515625,43500.0,10202.3603515625,8406.099609375,7966.72021484375,8406.099609375,8019.259765625,379120000.0,8019.259765625
2002-07-22,10295.7099609375,9982.240234375,10076.2998046875,10189.009765625,44700.0,10189.009765625,8103.85986328125,7717.2900390625,8015.0400390625,7784.580078125,477860000.0,7784.580078125
2002-07-23,10268.0498046875,10003.8095703125,10102.4599609375,10215.6298828125,49600.0,10215.6298828125,7894.41015625,7682.89013671875,7785.5498046875,7702.33984375,528730000.0,7702.33984375
2002-07-24,10142.900390625,9901.08984375,10134.8798828125,9947.7197265625,53900.0,9947.7197265625,8202.01953125,7532.66015625,7698.4599609375,8191.2900390625,568650000.0,8191.2900390625
2002-07-25,10166.6796875,9911.1298828125,10079.98046875,9929.91015625,51500.0,9929.91015625,8309.3896484375,7945.9501953125,8185.89013671875,8186.31005859375,442460000.0,8186.31005859375
